,序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201909),净利润(201909),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
9,70,158,常山北明,石家庄常山北明科技股份有限公司,石家庄市,长安区,64.89亿,3506.09万,5092,2000-07-24,--,,棉纺,主营业务:软件及信息服务,软件及信息服务
10,71,159,国际实业,新疆国际实业股份有限公司,乌鲁木齐市,新市区,3.28亿,-1443.67万,315,2000-09-26,--,,石油天然气贸易,主营业务:油品批发、零售、仓储、运输；能源贸易；房地产开发与销售。,油品批发、零售、仓储、运输；能源贸易；房地产开发与销售。
11,72,166,申万宏源,申万宏源集团股份有限公司,乌鲁木齐市,天山区,164.22亿,48.02亿,--,2015-01-26,--,,证券,主营业务:金融投资、股权投资等,金融投资、股权投资等
12,73,301,东方盛虹,江苏东方盛虹股份有限公司,苏州市,吴江区,187.38亿,11.88亿,13118,2000-05-29,--,,火电,主营业务:以民用涤纶长丝的研发、生产和销售为核心，以热电等业务为补充。,以民用涤纶长丝的研发、生产和销售为核心，以热电等业务为补充。
13,74,333,美的集团,美的集团股份有限公司,佛山市,顺德区,2217.74亿,223.60亿,114765,2013-09-18,--,,空调、小家电,主营业务:以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流,以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流
14,75,338,潍柴动力,潍柴动力股份有限公司,潍坊市,奎文区,1267.08亿,93.29亿,42103,2007-04-30,--,,汽车零部件,主营业务:研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务,研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务
15,76,400,许继电气,许继电气股份有限公司,许昌市,魏都区,52.38亿,3.10亿,5422,1997-04-18,--,,电气自控设备,主营业务:从事电力系统二次设备和一次设备的研制、销售,从事电力系统二次设备和一次设备的研制、销售
16,77,401,冀东水泥,唐山冀东水泥股份有限公司,唐山市,丰润区,262.54亿,43.22亿,20141,1996-06-14,--,,水泥,主营业务:生产和销售水泥、熟料以及石灰石开采和销售,生产和销售水泥、熟料以及石灰石开采和销售
17,78,402,金融街,金融街控股股份有限公司,北京市,西城区,133.50亿,18.22亿,3557,1996-06-26,--,,房地产开发,主营业务:房地产开发和经营,房地产开发和经营
18,79,403,振兴生化,振兴生化股份有限公司,太原市,小店区,6.41亿,1.26亿,1063,1996-06-28,--,,生物医药,主营业务:生产和销售血液制品,生产和销售血液制品
19,80,404,长虹华意,长虹华意压缩机股份有限公司,景德镇市,昌江区,69.44亿,1.17亿,7737,1996-06-19,--,,压缩机,主营业务:冰箱压缩机及商用压缩机的研发、生产和销售,冰箱压缩机及商用压缩机的研发、生产和销售
0,81,407,胜利股份,山东胜利股份有限公司,济南市,历下区,39.87亿,1.74亿,2001,1996-07-03,--,,燃气,主营业务:天然气、生物、农化、塑胶等产业组成,天然气、生物、农化、塑胶等产业组成
1,82,408,藏格控股,藏格控股股份有限公司,海西蒙古族藏族自治州,格尔木市,11.60亿,3.52亿,1710,1996-06-28,--,,钾肥,主营业务:钾肥(氯化钾)的生产和销售。,钾肥(氯化钾)的生产和销售。
