job_name,job_area,salary,experience,edu,skill,welfare,company_name,industry,stage,population
python,北京,20-30K·15薪,3-5年,本科,Tornado Flask Django 常用模块 Shell编程,项目奖金，每年调薪，节日福利，六险一金，员工旅游，晋升机制，周六日双休，3～6月年终，法定节假日,智牛数字科技,互联网,C轮,500-999人
Python,北京·朝阳区,30-50K·13薪,3-5年,本科,Flask Django Linux 后端开发 web开发框架,补充医疗保险，五险一金，年终奖，股票期权，餐补，节日福利，带薪年假，包吃，定期体检，员工旅游，免费班车,蚂蚁金服,互联网,不需要融资,10000人以上
Python,北京,15-20K,3-5年,本科,后端开发 python开发 api开发 Shell编程 Pandas,生日会，节日福利，带薪年假，补充医疗保险,北京趣活科技有限公司,移动互联网,D轮及以上,10000人以上
Python,北京·朝阳区,20-40K·14薪,3-5年,本科,Tornado Flask Django 自然语言处理 服务器配置,补充医疗保险，定期体检，交通补助，零食下午茶，股票期权，年终奖，带薪年假，五险一金，节日福利,老虎集团,互联网,已上市,500-999人
Python,北京·朝阳区,25-50K,3-5年,本科,系统架构 后端开发 熟悉分布式 解耦 高并发,节日福利，交通补助，补充医疗保险，零食下午茶，带薪年假，年终奖，免费班车，员工旅游，加班补助，定期体检，餐补，五险一金，股票期权,蚂蚁金服,互联网金融,D轮及以上,10000人以上
python,北京,15-25K·13薪,1-3年,本科,C++ C# UDP OpenCV 熟悉linux操作系统,五险一金，年终奖，节日福利，交通补助，餐补，通讯补贴，带薪年假，员工旅游,万集科技,智能硬件,已上市,1000-9999人
Python,北京·东城区,15-27K,5-10年,本科,负载均衡技术 Go Linux 网络安全 C++,节日福利，餐补，年终奖，五险一金，交通补助，补充医疗保险，零食下午茶，加班补助，带薪年假，员工旅游，通讯补贴,启迪国信,移动互联网,不需要融资,500-999人
Python,北京·朝阳区,18-30K,1-3年,本科,Tornado web开发框架 异步框架 Flask Mongo,免费班车，定期体检，五险一金，带薪年假，补充医疗保险，餐补，股票期权，员工旅游，交通补助，年终奖，节日福利,高德地图,互联网,已上市,1000-9999人
Python,北京·海淀区,25-50K·16薪,3-5年,本科,NoSQL MongoDB Redis Go MySQL,交通补助，节日福利，五险一金，带薪年假，餐补,掘金集团,企业服务,不需要融资,1000-9999人
Python,北京·海淀区,20-40K,1-3年,本科,深度学习框架 系统架构 精通python 编程风格 系统架构设计,带薪年假，加班补助，五险一金，零食下午茶，定期体检，交通补助，补充医疗保险，餐补,爱奇艺,互联网,已上市,1000-9999人
Python,北京·海淀区,18-30K,3-5年,本科,Shell Go 架构师 Linux MySQL,五险一金，定期体检，节日福利，加班补助，通讯补贴，年终奖，员工旅游，带薪年假，餐补,小赢科技,互联网,已上市,500-999人
Python,北京·海淀区,20-40K·15薪,不限,本科,数据库 后端开发 Tornado Web框架 Flask,零食下午茶，节日福利，餐补，年终奖，定期体检，五险一金，通讯补贴，补充医疗保险，带薪年假，交通补助，员工旅游，免费班车,中国电信云,计算机软件,已上市,1000-9999人
python,北京·朝阳区,15-30K,3-5年,本科,python相关 后端框架 数据抓取 熟悉linux Shell,定期体检，餐补，年终奖，住房补贴，员工旅游，五险一金，带薪年假，加班补助，补充医疗保险，零食下午茶,茂逊,电子商务,C轮,500-999人
Python,北京·海淀区,25-35K,10年以上,本科,Perl Java REST AWS Faster,加班补助，带薪年假，五险一金，年终奖，零食下午茶，员工旅游，节日福利，补充医疗保险，定期体检，通讯补贴,Veritas,企业服务,不需要融资,1000-9999人
Python,北京·海淀区,13-22K,1-3年,本科,PHP 软件工程师 数据爬取 ip协议 核心模块,带薪年假，加班补助，年终奖，交通补助，补充医疗保险，员工旅游，五险一金，定期体检，节日福利,华为技术有限公司,计算机软件,不需要融资,10000人以上
python,北京·海淀区,20-40K,不限,本科,深度学习算法 自然语言处理 MySQL Java 大数据,通讯补贴，年终奖，五险一金，定期体检，零食下午茶，节日福利,深圳华为,通信/网络设备,不需要融资,10000人以上
Python,北京·海淀区,20-40K,1-3年,本科,PHP Python 后端开发 医疗大数据,零食下午茶，补充医疗保险，股票期权，定期体检，年终奖，五险一金，包吃，节日福利，带薪年假,医渡云,互联网,C轮,1000-9999人
Python,北京·朝阳区,15-25K,1-3年,本科,后端开发 Tornado web开发框架 Flask 多进程,,掌阅科技,互联网,已上市,500-999人
Python,北京·朝阳区,15-25K,1-3年,本科,Python 后端开发 统招本科,加班补助，补充医疗保险,蓝天行动,汽车生产,不需要融资,10000人以上
Python,北京·海淀区,18-25K·14薪,5-10年,本科,Web框架 Flask 精通python Django API接口,带薪年假，员工旅游，通讯补贴，补充医疗保险，五险一金，交通补助，节日福利，定期体检，餐补,嘉和美康,计算机软件,C轮,1000-9999人
Python,北京·海淀区,15-20K,不限,本科,爬虫框架 分布式爬虫 Pyspider 信息抽取技术 Xpath,定期体检，零食下午茶，餐补，补充医疗保险，加班补助，节日福利，带薪年假，年终奖，员工旅游，五险一金，交通补助,搜狐,移动互联网,已上市,10000人以上
Python,北京·海淀区,20-30K,1-3年,本科,容器技术 分布式技术 架构师 云计算 管理系统,年终奖，免费班车，零食下午茶，通讯补贴，餐补，加班补助，带薪年假，交通补助，定期体检，节日福利，五险一金，住房补贴，补充医疗保险,百度,互联网,已上市,10000人以上
Python,北京·海淀区,15-25K,1-3年,本科,openstack开发 Kubernetes OpenStack Ceph Docker,年终奖，定期体检，交通补助，补充医疗保险，节日福利，五险一金，餐补，员工旅游，免费班车，通讯补贴，带薪年假,启明星辰,信息安全,已上市,1000-9999人
Python,北京·海淀区,15-25K,1-3年,本科,后端开发 后台开发 Go 测试工具 工具平台,年终奖，定期体检，补充医疗保险，股票期权，免费班车，交通补助，带薪年假，节日福利，五险一金，零食下午茶,滴滴出行,移动互联网,D轮及以上,1000-9999人
Python,北京·朝阳区,30-50K,5-10年,硕士,Linux 后端开发 python开发工程师 常用数据结构 分布式系统,年终奖，带薪年假，五险一金，定期体检，补充医疗保险，节日福利,国美金控,互联网金融,不需要融资,10000人以上
Python,北京·丰台区,11-19K,3-5年,本科,Django MySQL Oracle 证券 金融,节日福利，带薪年假，年终奖，五险一金，员工旅游，免费班车，加班补助，补充医疗保险，定期体检,文思海辉·金融,计算机软件,不需要融资,1000-9999人
Python,北京·海淀区,20-35K,3-5年,本科,Linux PHP 抽象能力 后端 医疗系统,节日福利，五险一金，股票期权，补充医疗保险，带薪年假，住房补贴，零食下午茶，定期体检，包吃，员工旅游，年终奖,医渡云,医疗健康,C轮,1000-9999人
Python,北京·海淀区,15-25K,3-5年,本科,Django 网络爬虫技术 ETL Linux MySQL,节日福利，年终奖，五险一金，带薪年假，交通补助，定期体检，员工旅游,慧聪网,互联网,已上市,1000-9999人
Python,北京·海淀区,10-20K,1-3年,本科,Linux 移动开发 数据库 常用数据库 机器学习算法,节日福利，五险一金,多牛传媒,广告营销,已上市,500-999人
python,北京·海淀区,11-17K,3-5年,本科,Python 熟悉python 数据库 计算机相关专业,免费班车，补充医疗保险，五险一金，员工旅游，带薪年假，节日福利，交通补助，定期体检，餐补，年终奖，通讯补贴，住房补贴，加班补助，股票期权,宇信科技,计算机软件,已上市,1000-9999人
Python(实习),北京,200-300/天,4天/周,6个月,网络爬虫技术 Java Python 后端开发 爬虫开发,定期体检，餐补，带薪年假，年终奖，五险一金，补充医疗保险，加班补助，节日福利，股票期权,搜狗,互联网,已上市,1000-9999人
python,北京·海淀区,11-18K,1-3年,本科,Sklearn NumPy Pandas 分布式框架 Hadoop,加班补助，通讯补贴，带薪年假，零食下午茶，节日福利，员工旅游，五险一金,艾融软件,互联网,已上市,1000-9999人
Python,北京·海淀区,10-20K,在校/应届,博士,机器学习 Python 少儿教育,,北京好象科技,移动互联网,不需要融资,10000人以上
Python,北京·丰台区,10-13K,3-5年,本科,Celery Django 消息队列 Saltstack Ansible,定期体检，年终奖，带薪年假，员工旅游，节日福利，五险一金，餐补,国通合众,计算机软件,不需要融资,500-999人
python 工程师,北京,20-35K·16薪,3-5年,本科,Flask Django 容器技术 全栈开发 JavaScript,五险一金，节日福利，带薪年假，交通补助，通讯补贴，住房补贴,北京直客通,旅游,C轮,500-999人
Python,北京,13-20K,3-5年,本科,C++ C语言 Python C,股票期权，五险一金，节日福利，零食下午茶，补充医疗保险，带薪年假，加班补助，年终奖，住房补贴，餐补，通讯补贴，免费班车，定期体检，交通补助,华为,计算机软件,不需要融资,10000人以上
Python,北京·朝阳区,25-50K,5-10年,本科,Linux 系统架构 熟悉多线程 服务封装 熟悉设计模式,免费班车，节日福利，年终奖，五险一金，餐补，补充医疗保险，加班补助，带薪年假，员工旅游，股票期权，定期体检，交通补助,阿里巴巴集团,互联网,已上市,10000人以上
Python,北京·朝阳区,10-11K,1-3年,本科,计算机软件 编码习惯 数据库设计 LNMP 熟练掌握php,节日福利，零食下午茶，股票期权，交通补助，住房补贴，包住，餐补,万米科技,数据服务,D轮及以上,1000-9999人
Python,北京,20-35K·14薪,3-5年,本科,Linux 后端开发 PostgreSql 网络编程 数据库存储,节日福利，加班补助，年终奖，免费班车，包吃，定期体检，员工旅游，带薪年假，餐补，股票期权，补充医疗保险，五险一金,腾讯,互联网,已上市,10000人以上
Python,北京·大兴区,10-15K,1-3年,本科,C语言 Java 大数据 游戏 编程教育,五险一金,乐博怡然,培训机构,已上市,500-999人
Python,北京·海淀区,9-10K,1-3年,本科,JS 单元测试 风控引擎 HTML CSS,节日福利，定期体检，带薪年假，五险一金，年终奖，补充医疗保险,阳光惠金所,互联网金融,不需要融资,500-999人
Python,北京·朝阳区,6-10K,1-3年,本科,数据库 python开发 熟悉redis PostgreSQL Http协议,全勤奖，五险一金,人人有信,数据服务,不需要融资,500-999人
Python,北京·海淀区,20-40K,5-10年,本科,数据库 后端开发 Flask 熟悉分布式 存储引擎,零食下午茶，年终奖，五险一金，带薪年假，定期体检，股票期权，补充医疗保险，餐补,旷视MEGVII,计算机服务,D轮及以上,1000-9999人
Python,北京·海淀区,20-40K,1-3年,本科,数据库 后端开发 HTTP 企业招聘 产品开发,定期体检，带薪年假，五险一金，节日福利，包吃，补充医疗保险，零食下午茶，股票期权，年终奖,医渡云,互联网,C轮,1000-9999人
Python,北京·海淀区,20-25K,在校/应届,本科,后端开发 Kubernetes TensorFlow 分布式系统 高吞吐,餐补，带薪年假，年终奖，免费班车，包吃，股票期权，五险一金，员工旅游，定期体检，节日福利，补充医疗保险,蚂蚁金服,互联网,不需要融资,10000人以上
Python,北京·海淀区,20-40K,1-3年,硕士,视频编解码 视频算法 Kubernetes Docker Mesos,带薪年假，加班补助，补充医疗保险，餐补，定期体检，五险一金，零食下午茶，交通补助,爱奇艺,互联网,已上市,1000-9999人
Python,北京·朝阳区,20-30K·16薪,3-5年,本科,运维开发 自动化运维 分布式系统 性能调优 计算机体系结构,定期体检，带薪年假，补充医疗保险，股票期权，年终奖，节日福利，餐补，交通补助，员工旅游，免费班车，五险一金,高德地图,互联网,已上市,1000-9999人
Python,北京·海淀区,30-50K,3-5年,本科,系统架构 云服务 精通python 非关系数据库 分布式文件系统,五险一金，年终奖，节日福利，带薪年假，定期体检，购房福利，补充医疗保险，全勤奖，不定期培训，餐补，商业保险,好未来,互联网,已上市,10000人以上
Python,北京,15-30K·14薪,不限,本科,全栈开发 分布式技术 架构师 Linux 软件工程师,员工旅游，五险一金，节日福利，带薪年假，年终奖，补充医疗保险，交通补助，定期体检，加班补助,华为技术有限公司,计算机软件,不需要融资,10000人以上
Python,北京,25-40K,5-10年,本科,系统架构 Python 后端开发 系统架构设计,五险一金，免费班车，节日福利，年终奖，餐补，补充医疗保险，定期体检，带薪年假,金风科技,计算机软件,已上市,1000-9999人
Python,北京·海淀区,10-20K,3-5年,本科,后端开发 RESTful RPC 数据库优化 掌握数据结构,补充医疗保险，员工旅游，定期体检，年终奖，通讯补贴，带薪年假，节日福利，免费班车，五险一金，餐补，零食下午茶，交通补助,中国电信云,计算机软件,已上市,1000-9999人
Python,北京·海淀区,30-60K,3-5年,本科,Tornado Web框架 Flask python开发 Django,节日福利，免费班车，股票期权，年终奖，五险一金，定期体检，带薪年假，交通补助，补充医疗保险，零食下午茶,滴滴出行,移动互联网,D轮及以上,1000-9999人
Python,北京,15-30K,3-5年,本科,Python python开发 RUBY 网络安全测试,年终奖，零食下午茶，节日福利，通讯补贴，定期体检，五险一金,深圳华为,通信/网络设备,不需要融资,10000人以上
Python,北京,18-20K,5-10年,大专,DBA MySQL 后端开发 python开发工程师 熟悉mysql,员工旅游，股票期权，带薪年假，健身房，五险一金，定期体检，节日福利，补充医疗保险，餐补，零食下午茶,北京海量数据,数据服务,已上市,100-499人
Python,北京·朝阳区,16-30K,3-5年,本科,Python 能力强 兼职合作,员工旅游，年终奖，五险一金，节日福利，带薪年假,北京德创未来,其他服务业,不需要融资,20-99人
Python,北京·海淀区,30-60K,3-5年,本科,Django框架 精通python 前端页面 linux系统 数据结构,,庞大汽贸,移动互联网,不需要融资,100-499人
Python,北京·海淀区,8-12K,1-3年,大专,ETL 商业智能 大数据 后端开发 数据分析,员工旅游，餐补，五险一金，通讯补贴，定期体检，节日福利，带薪年假，交通补助，免费班车，补充医疗保险，年终奖,启明星辰,信息安全,已上市,1000-9999人
python,北京·昌平区,10-15K,3-5年,大专,精通python PyCharm WebStorm SQL Server 数据库,带薪年假，股票期权，通讯补贴，交通补助，节日福利，五险一金，加班补助，餐补，住房补贴，年终奖，定期体检，免费班车，补充医疗保险，员工旅游,宇信科技,计算机软件,已上市,1000-9999人
Python,北京·西城区,20-40K,1年以内,本科,自动化平台 精通python 高并发 开源项目 GitHub,餐补，五险一金，定期体检，加班补助，住房补贴，年终奖，带薪年假，交通补助，节日福利，补充医疗保险，通讯补贴,网联,互联网金融,不需要融资,100-499人
Python,北京·丰台区,12-20K,3-5年,本科,爬虫策略 爬虫开发 验证码识别 网页抓取 MongoDB,餐补，带薪年假，加班补助，通讯补贴，员工旅游，交通补助，节日福利，五险一金,中宏信息,数据服务,不需要融资,20-99人
Python,北京·海淀区,12-24K,1年以内,本科,企业软件 后端开发 Tornado Flask Django,,石云科技,互联网金融,不需要融资,20-99人
Python,北京·海淀区,15-20K,3-5年,本科,Java Tornado Web框架 Flask 精通python,零食下午茶，餐补，五险一金，节日福利，年终奖,安码科技,计算机软件,不需要融资,100-499人
python,北京·海淀区,15-20K,3-5年,本科,Flask Django 信息抽取 熟悉机器学习 分布式计算,五险一金，带薪年假，定期体检，年终奖，员工旅游，节日福利，补充医疗保险,金色财经,互联网金融,不需要融资,100-499人
Python,北京·海淀区,20-40K,3-5年,本科,数据库 后端开发 Tornado Flask 熟悉redis,加班补助，零食下午茶，补充医疗保险，股票期权，五险一金，餐补，定期体检，年终奖，节日福利，带薪年假,混沌研习社,在线教育,不需要融资,100-499人
Python,北京·朝阳区,13-20K,不限,本科,Tornado Django MongoDB Redis Linux,定期体检，带薪年假，五险一金，年终奖,简恒科技,计算机软件,不需要融资,0-20人
Python,北京·海淀区,15-30K·14薪,3-5年,硕士,数据库 后端开发 REST Django 高质量代码,交通补助，加班补助，年终奖，带薪年假，补充医疗保险，定期体检，餐补，五险一金，通讯补贴,北航西部创新港,计算机软件,不需要融资,20-99人
Python,北京·朝阳区,15-25K,1年以内,大专,常用数据结构 熟悉python 设计模式 Go 算法,定期体检，五险一金，带薪年假，节日福利，通讯补贴,城宿city-home,旅游,B轮,500-999人
Python,北京·海淀区,15-30K,1-3年,本科,Python讲师 Pyspider 爬虫开发 Django框架 Flask,补充医疗保险，通讯补贴，带薪年假，节日福利，员工旅游，股票期权，餐补,北大青鸟航天桥校区,在线教育,不需要融资,100-499人
python,北京·朝阳区,35-40K,5-10年,本科,Tornado Flask RESTful python开发 精通python,通讯补贴，餐补，年终奖，节日福利，零食下午茶，定期体检，员工旅游，交通补助，带薪年假，五险一金，补充医疗保险，加班补助，股票期权,北京行景科技,计算机软件,不需要融资,100-499人
Python,北京·朝阳区,18-36K,3-5年,本科,数据库 后端开发 Tornado 非关系型数据库 Http协议,,智美体育集团,其他行业,已上市,100-499人
Python,北京,20-40K,5-10年,本科,Django Go 架构师 Linux python开发,免费班车，全勤奖，年终奖,无忧尚实Reboot,在线教育,不需要融资,20-99人
