日期,体重lb,体脂率%,数据源
2015-10-13,169.4,20.9,omron
2015-10-14,168.8,22.7,omron
2015-10-14,168.9,22.7,withings
2015-10-15,166.0,21.8,omron
2015-10-15,166.0,21.8,withings
2015-10-19,171.5,21.4,withings
2015-10-19,171.4,21.4,omron
2015-10-20,169.2,22.1,omron
2015-10-20,169.3,22.1,withings
2015-10-21,168.0,22.0,omron
2015-10-21,168.0,22.0,withings
2015-10-22,165.4,22.9,omron
2015-10-22,165.3,22.9,withings
2015-10-23,168.2,21.6,withings
2015-10-23,168.2,21.6,omron
2015-10-24,169.5,20.2,withings
2015-10-24,169.6,20.2,omron
2015-10-25,167.8,22.9,withings
2015-10-25,167.8,22.9,omron
2015-10-26,169.3,22.0,withings
2015-10-26,169.2,22.0,omron
2015-10-27,166.2,23.0,omron
2015-10-27,166.2,23.0,withings
2015-10-28,169.1,21.4,withings
2015-10-28,169.0,21.4,omron
2015-10-29,169.5,21.4,withings
2015-10-29,169.6,21.4,omron
2015-10-30,168.4,21.4,omron
2015-10-30,168.4,21.4,withings
2015-11-01,167.6,21.9,omron
2015-11-01,167.6,21.9,withings
2015-11-02,169.0,21.8,omron
2015-11-02,169.1,21.8,withings
2015-11-03,169.4,21.8,omron
2015-11-03,169.3,21.8,withings
2015-11-04,168.2,21.9,withings
2015-11-04,168.2,21.9,omron
2015-11-05,167.6,22.4,withings
2015-11-05,167.6,22.4,omron
2015-11-06,169.0,21.1,omron
2015-11-06,169.1,21.1,withings
2015-11-07,168.6,21.2,omron
2015-11-07,168.7,21.2,withings
2015-11-08,168.4,21.3,withings
2015-11-08,168.4,21.3,omron
2015-11-09,171.0,20.4,omron
2015-11-09,171.1,20.4,withings
2015-11-10,169.5,21.8,withings
2015-11-10,169.6,21.8,omron
2015-11-11,169.8,22.2,withings
2015-11-11,169.8,22.2,omron
2015-11-12,169.1,22.2,withings
2015-11-12,169.0,22.2,omron
2015-11-13,168.2,22.6,omron
2015-11-13,168.2,22.6,withings
2015-11-16,168.0,23.0,withings
2015-11-16,168.0,23.0,omron
2015-11-17,168.4,21.3,omron
2015-11-17,168.4,21.3,withings
2015-11-24,166.4,22.2,withings
2015-11-24,166.4,22.2,omron
2015-11-25,168.4,21.2,omron
2015-11-25,168.4,21.2,withings
2015-12-02,168.9,22.8,withings
2015-12-02,168.8,22.8,omron
2015-12-03,169.6,22.8,omron
2015-12-03,169.5,22.8,withings
2015-12-04,170.8,22.5,omron
2015-12-05,170.4,23.4,omron
2015-12-06,170.0,23.0,omron
2015-12-08,172.2,22.2,omron
2015-12-10,170.8,23.2,omron
2015-12-11,168.8,23.6,omron
2015-12-12,170.6,22.5,omron
2015-12-13,173.2,21.5,omron
2015-12-14,172.2,21.4,omron
2015-12-15,173.6,21.8,omron
2015-12-16,172.2,22.3,omron
2015-12-17,170.8,22.0,omron
2015-12-18,172.6,22.3,omron
2015-12-19,171.4,23.3,omron
2015-12-20,170.6,23.6,omron
2015-12-22,172.4,21.8,omron
2015-12-23,173.4,22.3,omron
2015-12-24,173.8,23.4,omron
2015-12-28,175.0,24.3,omron
2015-12-30,171.2,24.7,omron
2016-01-01,170.8,21.2,omron
2016-01-03,171.2,23.4,omron
2016-01-05,172.2,23.5,omron
2016-01-06,171.0,21.9,omron
2016-01-12,170.6,22.6,omron
2016-01-14,171.0,22.5,omron
2016-01-15,170.0,22.7,omron
2016-01-16,171.4,22.3,omron
2016-01-20,171.2,22.2,omron
2016-01-22,168.6,22.3,omron
2016-01-26,167.4,23.0,omron
2016-01-27,168.2,22.7,omron
2016-01-28,167.6,22.4,omron
2016-01-29,169.2,22.0,omron
2016-01-30,170.6,21.7,omron
2016-01-31,170.8,20.9,omron
2016-02-01,170.6,22.0,omron
2016-02-03,170.0,22.4,omron
2016-02-04,169.8,22.0,omron
2016-02-05,169.0,23.2,omron
2016-02-06,171.4,,omron
2016-02-10,171.6,20.6,omron
2016-02-12,172.0,22.5,omron
2016-02-15,170.6,22.8,omron
2016-02-16,173.0,23.5,omron
2016-02-17,171.8,22.9,omron
2016-02-18,172.4,23.3,omron
2016-02-24,173.8,21.8,omron
2016-02-25,172.6,23.8,omron
2016-03-01,174.4,23.5,omron
2016-03-02,173.0,23.5,omron
2016-03-03,172.8,24.1,omron
2016-03-04,173.2,23.9,omron
2016-03-05,171.6,24.2,omron
2016-03-13,176.0,23.0,omron
2016-03-16,174.4,23.1,omron
2016-03-17,173.8,23.0,omron
2016-03-19,174.2,21.7,omron
2016-03-20,172.8,22.1,omron
2016-03-21,174.0,23.3,omron
2016-03-22,171.8,23.5,omron
2016-03-23,170.8,22.6,omron
2016-03-24,170.0,21.9,omron
2016-03-25,169.8,22.0,omron
2016-03-26,168.4,21.5,omron
2016-03-27,168.2,21.5,omron
2016-03-28,168.2,21.5,omron
2016-03-29,168.6,22.0,omron
2016-03-30,167.8,21.5,omron
2016-03-31,170.2,21.0,omron
2016-04-01,169.8,21.6,omron
2016-04-05,175.2,21.7,omron
2016-04-08,175.8,20.7,omron
2016-04-10,177.6,21.7,omron
2016-04-11,175.2,22.6,omron
2016-04-13,173.6,22.8,omron
2016-04-17,175.0,22.5,omron
2016-04-29,173.8,22.1,omron
2016-05-03,173.6,22.6,omron
2016-05-10,174.2,21.9,omron
2016-05-12,174.6,22.7,omron
2016-05-14,176.8,20.0,omron
2016-05-15,175.2,19.1,omron
2016-05-16,177.8,19.3,omron
2016-05-17,175.2,21.8,omron
2016-05-18,173.6,22.8,omron
2016-05-19,171.4,23.1,omron
2016-05-20,172.6,22.4,omron
2016-05-21,172.0,21.6,omron
2016-05-22,174.0,23.5,omron
2016-05-23,173.6,22.0,omron
2016-05-24,172.4,23.0,omron
2016-05-25,170.4,21.7,omron
2016-05-26,172.0,20.1,omron
2016-05-27,173.0,21.4,omron
2016-05-28,173.8,21.3,omron
2016-06-01,178.2,21.3,omron
2016-06-02,176.2,21.3,omron
2016-06-03,177.8,20.1,omron
2016-06-04,173.8,20.2,omron
2016-06-05,175.6,22.6,omron
2016-06-06,174.8,22.7,omron
2016-06-07,173.6,23.1,omron
2016-06-08,173.4,22.9,omron
2016-06-09,172.0,20.9,omron
2016-06-10,174.4,22.0,omron
2016-06-11,175.4,21.3,omron
2016-06-12,176.2,21.2,omron
2016-06-14,173.8,23.5,omron
2016-06-15,173.4,23.1,omron
2016-06-16,175.0,21.4,omron
